Issue_ID,Student_ID,Book_ID,Issue_Date,Due_Date,Return_Date,Issue_Status,Number_of_Days_Issued,Renew_Count,Fine_Amount,Library_Visit_Frequency,Total_Library_Visits,Reading_Duration_Hours,Preferred_Book_Type,Online_Resource_Usage,Late_Return_Count,Librarian_ID,Library_Shift,Transaction_Mode,Feedback_Rating,Student_Name,Gender,Age,Department,Year_of_Study,Section,Roll_Number,Student_Type,Admission_Year,Semester,CGPA,Attendance_Percentage,Academic_Performance,Scholarship_Status,Hostel_DayScholar,Mobile_Number,Email_ID,City,State,Book_Title,Author_Name,Publisher,Book_Category,ISBN_Number,Book_Edition,Language,Book_Price,Book_Rack_No,Book_Availability,Book_Condition,Damage_Report,Publication_Year,Pages,Binding_Type,Edition_Type,Print_Type,Genre,Country_of_Publication
I3077,S1163,B2014,09-02-2025,23-02-2025,,Not Returned,29.0,3.0,30.0,10,89.0,15,Electronics,Yes,1,L477,Evening,Offline,1,Student_163,Male,20,Civil,2.0,A,12,Lateral,2022,4,6.7,70,Average,Yes,DayScholar,9790273739,student163@college.edu,Vizag,AP,Book_14,Author_14,Pearson,Programming,3716081557.0,3.0,English,714.93,1.0,No,Average,,2024.0,252.0,Paperback,Second,Color,Textbook,UK
I3076,S1066,B2014,23-06-2025,07-07-2025,10-07-2025,Returned,10.0,1.0,10.0,2,56.0,17,Science,Yes,5,L476,Morning,Offline,5,Student_66,Male,22,CSE,2.0,C,21,Regular,2024,7,7.42,78,Poor,Yes,Hostel,9837024452,student66@college.edu,Rajahmundry,AP,Book_14,Author_14,Pearson,Programming,3716081557.0,3.0,English,714.93,1.0,No,Average,,2024.0,252.0,Paperback,Second,Color,Textbook,UK
I3130,S1039,B2027,27-03-2025,10-04-2025,08-04-2025,Returned,7.0,1.0,30.0,4,51.0,16,Math,No,2,L530,Evening,Online,4,Student_39,Male,24,ECE,3.0,C,64,Lateral,2022,8,8.2,97,Poor,Yes,DayScholar,9787798800,student39@college.edu,Vizag,AP,Book_27,Author_27,Oxford,Math,1201461174.0,3.0,English,352.15,28.0,Yes,Damaged,Minor,2020.0,308.0,Paperback,Revised,Color,Reference,USA
I3046,S1111,B2027,11-02-2025,25-02-2025,27-02-2025,Returned,30.0,2.0,30.0,7,28.0,3,Mechanical,No,0,L446,Evening,Offline,1,Student_111,Female,19,ME,4.0,C,37,Lateral,2022,6,5.06,84,Poor,No,Hostel,9167747551,student111@college.edu,Rajahmundry,AP,Book_27,Author_27,Oxford,Math,1201461174.0,3.0,English,352.15,28.0,Yes,Damaged,Minor,2020.0,308.0,Paperback,Revised,Color,Reference,USA
I3196,S1098,B2027,01-10-2025,15-10-2025,,Not Returned,7.0,0.0,20.0,5,81.0,14,Math,Yes,5,L596,Morning,Online,2,Student_98,Male,20,Civil,4.0,B,75,Regular,2022,1,7.31,85,Average,No,Hostel,9405675402,student98@college.edu,Vizag,AP,Book_27,Author_27,Oxford,Math,1201461174.0,3.0,English,352.15,28.0,Yes,Damaged,Minor,2020.0,308.0,Paperback,Revised,Color,Reference,USA
I3174,S1179,B2027,05-10-2025,19-10-2025,17-10-2025,Returned,21.0,0.0,30.0,10,85.0,14,Programming,Yes,5,L574,Morning,Online,2,Student_179,Male,24,ECE,3.0,A,60,Regular,2021,7,6.16,86,Good,No,DayScholar,9919751791,student179@college.edu,Hyderabad,AP,Book_27,Author_27,Oxford,Math,1201461174.0,3.0,English,352.15,28.0,Yes,Damaged,Minor,2020.0,308.0,Paperback,Revised,Color,Reference,USA
I3174,S1179,B2027,05-10-2025,19-10-2025,17-10-2025,Returned,21.0,0.0,30.0,10,85.0,14,Programming,Yes,5,L574,Morning,Online,2,Student_179,Male,24,ECE,3.0,A,60,Regular,2021,7,6.16,86,Good,No,DayScholar,9919751791,student179@college.edu,Hyderabad,AP,Book_27,Author_27,Oxford,Math,1201461174.0,3.0,English,352.15,28.0,Yes,Damaged,Minor,2020.0,308.0,Paperback,Revised,Color,Reference,USA
I3007,S1009,B2081,23-01-2025,06-02-2025,09-02-2025,Returned,9.0,3.0,,3,31.0,3,Programming,No,5,L407,Morning,Offline,2,Student_9,Male,21,EEE,2.0,A,24,Lateral,2024,4,8.11,77,Average,Yes,Hostel,9164447149,student9@college.edu,Hyderabad,AP,Book_81,Author_81,Elsevier,Math,3834498624.0,2.0,Hindi,734.77,10.0,No,Damaged,,2024.0,623.0,Paperback,First,Black&White,Textbook,USA
I3140,S1028,B2081,20-01-2025,03-02-2025,05-02-2025,Returned,19.0,3.0,30.0,9,99.0,18,Civil,No,4,L540,Morning,Offline,5,Student_28,Female,22,EEE,4.0,C,8,Regular,2024,6,9.78,84,Average,Yes,Hostel,9990729047,student28@college.edu,Hyderabad,AP,Book_81,Author_81,Elsevier,Math,3834498624.0,2.0,Hindi,734.77,10.0,No,Damaged,,2024.0,623.0,Paperback,First,Black&White,Textbook,USA
I3163,S1072,B2081,18-07-2025,01-08-2025,07-08-2025,Returned,13.0,1.0,30.0,2,14.0,20,Math,No,3,L563,Evening,Offline,4,Student_72,Male,21,EEE,2.0,B,59,Regular,2023,5,7.09,90,Average,Yes,DayScholar,9243061806,student72@college.edu,Vizag,AP,Book_81,Author_81,Elsevier,Math,3834498624.0,2.0,Hindi,734.77,10.0,No,Damaged,,2024.0,623.0,Paperback,First,Black&White,Textbook,USA
I3168,S1154,B2081,02-02-2025,16-02-2025,18-02-2025,Returned,10.0,2.0,20.0,8,37.0,17,Science,No,4,L568,Evening,Offline,3,Student_154,Male,24,ME,2.0,B,55,Regular,2022,3,9.94,67,Good,Yes,Hostel,9345078924,student154@college.edu,Vijayawada,AP,Book_81,Author_81,Elsevier,Math,3834498624.0,2.0,Hindi,734.77,10.0,No,Damaged,,2024.0,623.0,Paperback,First,Black&White,Textbook,USA
I3073,S1009,B2085,07-10-2025,21-10-2025,23-10-2025,Returned,24.0,1.0,30.0,2,30.0,3,Programming,No,1,L473,Morning,Online,2,Student_9,Male,21,EEE,2.0,A,24,Lateral,2024,4,8.11,77,Average,Yes,Hostel,9164447149,student9@college.edu,Hyderabad,AP,Book_85,Author_85,Springer,Math,5317370365.0,1.0,Telugu,353.95,46.0,Yes,Average,Minor,2019.0,487.0,Paperback,Second,Black&White,Guide,UK
I3095,S1035,B2085,02-10-2025,16-10-2025,17-10-2025,Returned,21.0,1.0,20.0,7,92.0,1,Mechanical,No,1,L495,Evening,Offline,4,Student_35,Male,19,ECE,4.0,A,73,Regular,2021,8,6.08,95,Excellent,Yes,DayScholar,9629551684,student35@college.edu,Hyderabad,AP,Book_85,Author_85,Springer,Math,5317370365.0,1.0,Telugu,353.95,46.0,Yes,Average,Minor,2019.0,487.0,Paperback,Second,Black&White,Guide,UK
I3102,S1151,B2085,12-01-2025,26-01-2025,30-01-2025,Returned,22.0,1.0,20.0,10,47.0,4,Programming,No,5,L502,Morning,Offline,5,Student_151,Male,22,EEE,4.0,B,52,Regular,2022,5,6.69,89,Good,No,DayScholar,9286230441,student151@college.edu,Hyderabad,AP,Book_85,Author_85,Springer,Math,5317370365.0,1.0,Telugu,353.95,46.0,Yes,Average,Minor,2019.0,487.0,Paperback,Second,Black&White,Guide,UK
I3180,S1094,B2085,22-02-2025,08-03-2025,05-03-2025,Returned,20.0,1.0,0.0,2,35.0,16,Civil,No,0,L580,Morning,Offline,1,Student_94,Female,22,EEE,4.0,C,61,Regular,2023,3,5.9,67,Poor,Yes,DayScholar,9612927053,student94@college.edu,Vizag,AP,Book_85,Author_85,Springer,Math,5317370365.0,1.0,Telugu,353.95,46.0,Yes,Average,Minor,2019.0,487.0,Paperback,Second,Black&White,Guide,UK
I3119,S1009,B2106,15-09-2025,29-09-2025,27-09-2025,Returned,12.0,2.0,30.0,10,64.0,3,Mechanical,No,3,L519,Morning,Offline,3,Student_9,Male,21,EEE,2.0,A,24,Lateral,2024,4,8.11,77,Average,Yes,Hostel,9164447149,student9@college.edu,Hyderabad,AP,Book_106,Author_106,Elsevier,Math,3478132167.0,1.0,English,309.53,42.0,Yes,Damaged,Minor,2019.0,751.0,Hardcover,Second,Black&White,Reference,USA
I3024,S1102,B2106,30-08-2025,13-09-2025,,Not Returned,10.0,1.0,10.0,1,59.0,18,Science,No,2,L424,Morning,Online,1,Student_102,Male,18,Civil,1.0,B,30,Lateral,2024,7,6.06,84,Excellent,Yes,Hostel,9539019925,student102@college.edu,Hyderabad,AP,Book_106,Author_106,Elsevier,Math,3478132167.0,1.0,English,309.53,42.0,Yes,Damaged,Minor,2019.0,751.0,Hardcover,Second,Black&White,Reference,USA
I3187,S1055,B2106,21-11-2025,05-12-2025,,Not Returned,21.0,2.0,20.0,5,16.0,16,Electronics,Yes,3,L587,Evening,Online,4,Student_55,Female,18,EEE,2.0,C,47,Regular,2021,1,8.72,77,Excellent,No,DayScholar,9874134515,student55@college.edu,Hyderabad,AP,Book_106,Author_106,Elsevier,Math,3478132167.0,1.0,English,309.53,42.0,Yes,Damaged,Minor,2019.0,751.0,Hardcover,Second,Black&White,Reference,USA
I3156,S1009,B2156,07-11-2025,21-11-2025,,Not Returned,30.0,2.0,20.0,10,47.0,18,Civil,No,2,L556,Morning,Offline,1,Student_9,Male,21,EEE,2.0,A,24,Lateral,2024,4,8.11,77,Average,Yes,Hostel,9164447149,student9@college.edu,Hyderabad,AP,Book_156,Author_156,Pearson,Science,1688685850.0,2.0,Telugu,539.91,14.0,Yes,Average,,2019.0,232.0,Paperback,First,Black&White,Guide,UK
I3113,S1150,B2156,26-05-2025,09-06-2025,10-06-2025,Returned,8.0,3.0,20.0,1,12.0,13,Civil,No,0,L513,Evening,Online,5,Student_150,Female,22,ECE,4.0,A,14,Lateral,2022,3,8.83,75,Good,No,DayScholar,9274349138,student150@college.edu,Vijayawada,AP,Book_156,Author_156,Pearson,Science,1688685850.0,2.0,Telugu,539.91,14.0,Yes,Average,,2019.0,232.0,Paperback,First,Black&White,Guide,UK
I3197,S1009,B2042,27-09-2025,11-10-2025,09-10-2025,Returned,29.0,1.0,20.0,1,94.0,9,Electronics,Yes,4,L597,Evening,Online,2,Student_9,Male,21,EEE,2.0,A,24,Lateral,2024,4,8.11,77,Average,Yes,Hostel,9164447149,student9@college.edu,Hyderabad,AP,Book_42,Author_42,Oxford,Science,8457930958.0,1.0,English,743.03,16.0,No,Average,Major,2019.0,420.0,Paperback,Revised,Color,Guide,India
I3067,S1151,B2042,21-05-2025,04-06-2025,10-06-2025,Returned,14.0,1.0,20.0,6,79.0,11,Mechanical,Yes,2,L467,Morning,Offline,5,Student_151,Male,22,EEE,4.0,B,52,Regular,2022,5,6.69,89,Good,No,DayScholar,9286230441,student151@college.edu,Hyderabad,AP,Book_42,Author_42,Oxford,Science,8457930958.0,1.0,English,743.03,16.0,No,Average,Major,2019.0,420.0,Paperback,Revised,Color,Guide,India
I3008,S1174,B2002,17-12-2025,31-12-2025,02-01-2026,Returned,20.0,0.0,20.0,8,45.0,19,Science,No,5,L408,Morning,Offline,1,Student_174,Male,23,ECE,4.0,A,14,Regular,2022,6,6.54,84,Poor,Yes,Hostel,9562907655,student174@college.edu,Hyderabad,AP,Book_2,Author_2,Springer,Science,3543654857.0,4.0,English,781.43,15.0,No,Average,,2023.0,790.0,Hardcover,Revised,Black&White,Textbook,India
I3090,S1174,B2110,29-06-2025,13-07-2025,09-07-2025,Returned,17.0,2.0,0.0,10,34.0,13,Science,Yes,0,L490,Evening,Offline,2,Student_174,Male,23,ECE,4.0,A,14,Regular,2022,6,6.54,84,Poor,Yes,Hostel,9562907655,student174@college.edu,Hyderabad,AP,Book_110,Author_110,Springer,Math,5589998239.0,2.0,Hindi,974.47,31.0,Yes,Damaged,Minor,2023.0,455.0,Paperback,Second,Color,Guide,India
I3160,S1076,B2110,17-05-2025,31-05-2025,01-06-2025,Returned,20.0,2.0,10.0,2,81.0,2,Civil,No,1,L560,Morning,Online,3,Student_76,Female,23,CSE,2.0,A,48,Regular,2021,7,8.29,60,Average,No,Hostel,9680403464,student76@college.edu,Vijayawada,AP,Book_110,Author_110,Springer,Math,5589998239.0,2.0,Hindi,974.47,31.0,Yes,Damaged,Minor,2023.0,455.0,Paperback,Second,Color,Guide,India
I3009,S1033,B2147,07-12-2025,21-12-2025,,Not Returned,19.0,1.0,0.0,7,20.0,8,Mechanical,Yes,3,L409,Morning,Offline,2,Student_33,Female,21,ECE,1.0,C,46,Lateral,2022,2,9.54,77,Average,No,Hostel,9926579024,student33@college.edu,Vizag,AP,Book_147,Author_147,Oxford,Electronics,8866589565.0,5.0,Telugu,260.63,42.0,No,Average,,2019.0,346.0,Hardcover,First,Black&White,Reference,India
I3141,S1161,B2147,05-07-2025,19-07-2025,24-07-2025,Returned,8.0,0.0,20.0,3,51.0,16,Science,Yes,1,L541,Evening,Online,4,Student_161,Female,18,ME,1.0,A,48,Regular,2021,2,5.18,81,Poor,No,Hostel,9993912758,student161@college.edu,Rajahmundry,AP,Book_147,Author_147,Oxford,Electronics,8866589565.0,5.0,Telugu,260.63,42.0,No,Average,,2019.0,346.0,Hardcover,First,Black&White,Reference,India
I3099,S1033,B2082,04-10-2025,18-10-2025,,Not Returned,7.0,1.0,0.0,10,33.0,9,Mechanical,No,1,L499,Morning,Online,2,Student_33,Female,21,ECE,1.0,C,46,Lateral,2022,2,9.54,77,Average,No,Hostel,9926579024,student33@college.edu,Vizag,AP,Book_82,Author_82,Oxford,Science,8075260654.0,2.0,Hindi,397.31,37.0,No,Damaged,,2024.0,491.0,Paperback,Second,Color,Guide,UK
I3010,S1117,B2090,05-09-2025,19-09-2025,,Not Returned,23.0,0.0,10.0,1,40.0,15,Mechanical,No,0,L410,Evening,Offline,4,Student_117,Female,20,CSE,3.0,A,2,Lateral,2022,8,7.96,65,Poor,No,DayScholar,9688480939,student117@college.edu,Rajahmundry,AP,Book_90,Author_90,McGraw Hill,Math,3405630947.0,1.0,English,883.77,42.0,Yes,Damaged,Minor,2023.0,713.0,Hardcover,First,Black&White,Guide,USA
I3097,S1165,B2090,27-05-2025,10-06-2025,09-06-2025,Returned,21.0,0.0,30.0,4,96.0,20,Civil,No,4,L497,Evening,Online,1,Student_165,Male,19,ME,3.0,A,69,Regular,2023,6,9.08,86,Poor,No,Hostel,9358979394,student165@college.edu,Vijayawada,AP,Book_90,Author_90,McGraw Hill,Math,3405630947.0,1.0,English,883.77,42.0,Yes,Damaged,Minor,2023.0,713.0,Hardcover,First,Black&White,Guide,USA
I3117,S1117,B2096,27-04-2025,11-05-2025,,Not Returned,13.0,2.0,10.0,8,16.0,6,Mechanical,No,5,L517,Evening,Offline,1,Student_117,Female,20,CSE,3.0,A,2,Lateral,2022,8,7.96,65,Poor,No,DayScholar,9688480939,student117@college.edu,Rajahmundry,AP,Book_96,Author_96,Oxford,Programming,4145799403.0,4.0,Hindi,711.39,12.0,Yes,Average,Major,2022.0,776.0,Paperback,Second,Color,Guide,USA
I3170,S1113,B2096,05-06-2025,19-06-2025,,Not Returned,16.0,2.0,0.0,3,97.0,6,Programming,No,3,L570,Morning,Offline,4,Student_113,Female,18,CSE,1.0,A,74,Lateral,2023,4,7.41,87,Excellent,Yes,Hostel,9183548757,student113@college.edu,Rajahmundry,AP,Book_96,Author_96,Oxford,Programming,4145799403.0,4.0,Hindi,711.39,12.0,Yes,Average,Major,2022.0,776.0,Paperback,Second,Color,Guide,USA
