Student_ID,Student_Name,Gender,Age,Department,Year_of_Study,Section,Roll_Number,Student_Type,Admission_Year,Semester,CGPA,Attendance_Percentage,Academic_Performance,Scholarship_Status,Hostel_DayScholar,Mobile_Number,Email_ID,City,State
S1022,Student_22,Male,19,Civil,3.0,B,77,Lateral,2024,3,9.3,63,Good,Yes,DayScholar,9413716908,student22@college.edu,Vizag,AP
S1023,Student_23,Female,22,ECE,3.0,A,77,Lateral,2023,6,8.98,75,Poor,Yes,DayScholar,9535633151,student23@college.edu,Hyderabad,AP
S1024,Student_24,Female,20,EEE,2.0,B,55,Regular,2024,7,6.57,73,Poor,No,DayScholar,9499311301,student24@college.edu,Vijayawada,AP
S1025,Student_25,Male,21,ME,3.0,A,7,Lateral,2022,4,7.81,93,Good,Yes,DayScholar,9460101321,student25@college.edu,Vizag,AP
S1026,Student_26,Male,21,EEE,2.0,C,11,Regular,2023,5,6.95,63,Excellent,Yes,DayScholar,9335143686,student26@college.edu,Vijayawada,AP
S1027,Student_27,Female,18,ECE,1.0,A,79,Lateral,2021,1,6.83,83,Excellent,Yes,Hostel,9314190159,student27@college.edu,Hyderabad,AP
S1028,Student_28,Female,22,EEE,4.0,C,8,Regular,2024,6,9.78,84,Average,Yes,Hostel,9990729047,student28@college.edu,Hyderabad,AP
S1029,Student_29,Female,19,ME,1.0,C,77,Lateral,2021,8,5.95,90,Good,Yes,Hostel,9259429213,student29@college.edu,Vijayawada,AP
S1030,Student_30,Male,21,Civil,2.0,B,13,Regular,2023,5,6.72,88,Poor,No,DayScholar,9821086395,student30@college.edu,Vijayawada,AP
S1031,Student_31,Female,20,ME,4.0,C,21,Regular,2021,2,8.54,67,Poor,No,Hostel,9822172515,student31@college.edu,Hyderabad,AP
S1032,Student_32,Male,23,ECE,1.0,A,8,Regular,2024,5,5.56,66,Good,Yes,Hostel,9245888736,student32@college.edu,Rajahmundry,AP
S1033,Student_33,Female,21,ECE,1.0,C,46,Lateral,2022,2,9.54,77,Average,No,Hostel,9926579024,student33@college.edu,Vizag,AP
S1034,Student_34,Female,22,Civil,3.0,B,69,Regular,2021,7,7.45,61,Average,Yes,DayScholar,9505624349,student34@college.edu,Vizag,AP
S1035,Student_35,Male,19,ECE,4.0,A,73,Regular,2021,8,6.08,95,Excellent,Yes,DayScholar,9629551684,student35@college.edu,Hyderabad,AP
S1036,Student_36,Female,22,ECE,1.0,A,66,Lateral,2021,7,9.82,79,Average,Yes,DayScholar,9980986761,student36@college.edu,Hyderabad,AP
S1037,Student_37,Female,21,ME,4.0,B,53,Lateral,2023,2,8.95,90,Good,Yes,Hostel,9685655681,student37@college.edu,Hyderabad,AP
S1038,Student_38,Female,20,CSE,1.0,A,13,Regular,2022,7,8.73,77,Average,Yes,DayScholar,9825074215,student38@college.edu,Rajahmundry,AP
S1039,Student_39,Male,24,ECE,3.0,C,64,Lateral,2022,8,8.2,97,Poor,Yes,DayScholar,9787798800,student39@college.edu,Vizag,AP
S1040,Student_40,Female,24,Civil,3.0,C,45,Regular,2022,5,8.2,61,Excellent,No,Hostel,9818435713,student40@college.edu,Vijayawada,AP
S1041,Student_41,Male,18,ECE,1.0,C,6,Regular,2021,4,5.13,64,Average,Yes,DayScholar,9187104772,student41@college.edu,Vijayawada,AP
S1042,Student_42,Male,20,ME,1.0,C,23,Regular,2023,8,7.56,100,Average,Yes,Hostel,9719806135,student42@college.edu,Vizag,AP
S1043,Student_43,Male,21,CSE,4.0,B,31,Lateral,2022,7,8.29,96,Good,No,Hostel,9824734180,student43@college.edu,Hyderabad,AP
S1044,Student_44,Male,18,EEE,4.0,B,56,Lateral,2021,5,7.57,88,Average,Yes,DayScholar,9829528575,student44@college.edu,Vijayawada,AP
S1045,Student_45,Female,20,CSE,1.0,C,7,Regular,2022,4,5.86,89,Good,No,DayScholar,9712930781,student45@college.edu,Vijayawada,AP
S1046,Student_46,Male,21,EEE,4.0,A,12,Regular,2024,6,5.67,86,Average,No,Hostel,9921117457,student46@college.edu,Vizag,AP
S1047,Student_47,Female,18,ME,1.0,A,79,Lateral,2024,7,6.29,79,Poor,No,DayScholar,9123160320,student47@college.edu,Vijayawada,AP
S1048,Student_48,Male,18,CSE,3.0,C,21,Lateral,2021,8,6.91,98,Good,Yes,DayScholar,9757379345,student48@college.edu,Hyderabad,AP
S1049,Student_49,Female,23,Civil,1.0,A,27,Lateral,2024,3,8.84,100,Average,No,Hostel,9847619247,student49@college.edu,Vizag,AP
S1050,Student_50,Male,21,CSE,1.0,A,61,Lateral,2021,2,9.2,77,Good,Yes,DayScholar,9178665429,student50@college.edu,Vizag,AP
S1051,Student_51,Female,19,Civil,3.0,A,49,Lateral,2024,7,6.0,84,Good,No,Hostel,9770663573,student51@college.edu,Vizag,AP
S1052,Student_52,Female,23,EEE,1.0,A,66,Regular,2023,2,9.96,75,Average,No,Hostel,9851792922,student52@college.edu,Vijayawada,AP
S1053,Student_53,Male,19,ECE,4.0,B,22,Regular,2021,8,8.93,73,Poor,Yes,DayScholar,9607130400,student53@college.edu,Rajahmundry,AP
S1054,Student_54,Female,23,Civil,2.0,C,41,Lateral,2022,5,8.21,93,Poor,Yes,DayScholar,9195764361,student54@college.edu,Rajahmundry,AP
S1055,Student_55,Female,18,EEE,2.0,C,47,Regular,2021,1,8.72,77,Excellent,No,DayScholar,9874134515,student55@college.edu,Hyderabad,AP
S1056,Student_56,Female,20,ME,2.0,A,62,Regular,2024,4,8.3,74,Average,No,Hostel,9491817310,student56@college.edu,Vijayawada,AP
S1057,Student_57,Male,24,ME,2.0,C,69,Lateral,2022,3,5.5,79,Good,No,DayScholar,9833409523,student57@college.edu,Rajahmundry,AP
S1058,Student_58,Male,24,Civil,2.0,C,66,Lateral,2024,4,5.58,95,Good,Yes,DayScholar,9287194929,student58@college.edu,Rajahmundry,AP
S1059,Student_59,Female,19,Civil,3.0,A,42,Lateral,2022,1,6.67,99,Good,No,DayScholar,9636868636,student59@college.edu,Vizag,AP
S1060,Student_60,Female,18,EEE,3.0,C,56,Lateral,2023,2,8.84,69,Average,No,Hostel,9338361242,student60@college.edu,Hyderabad,AP
S1061,Student_61,Male,18,EEE,1.0,A,12,Lateral,2024,1,9.26,92,Average,Yes,DayScholar,9310793368,student61@college.edu,Vizag,AP
S1062,Student_62,Male,19,ECE,4.0,B,34,Lateral,2022,6,8.34,88,Poor,Yes,Hostel,9384042166,student62@college.edu,Vizag,AP
S1063,Student_63,Male,21,ME,4.0,A,73,Regular,2024,3,7.47,61,Average,Yes,DayScholar,9537498874,student63@college.edu,Vijayawada,AP
S1064,Student_64,Male,19,EEE,4.0,A,47,Lateral,2024,5,8.04,86,Poor,No,DayScholar,9279412321,student64@college.edu,Vijayawada,AP
S1065,Student_65,Male,18,ECE,1.0,C,79,Regular,2021,2,6.83,66,Excellent,Yes,DayScholar,9927808233,student65@college.edu,Vijayawada,AP
S1066,Student_66,Male,22,CSE,2.0,C,21,Regular,2024,7,7.42,78,Poor,Yes,Hostel,9837024452,student66@college.edu,Rajahmundry,AP
S1067,Student_67,Male,24,Civil,4.0,B,23,Regular,2021,8,8.34,65,Poor,No,Hostel,9298425767,student67@college.edu,Hyderabad,AP
S1068,Student_68,Male,23,ME,4.0,C,60,Lateral,2021,7,6.14,87,Poor,Yes,Hostel,9376901897,student68@college.edu,Vijayawada,AP
S1069,Student_69,Male,22,Civil,3.0,C,40,Lateral,2024,5,9.84,71,Average,No,Hostel,9854910023,student69@college.edu,Rajahmundry,AP
S1070,Student_70,Male,18,ECE,4.0,A,59,Regular,2023,8,8.72,87,Poor,Yes,DayScholar,9861308793,student70@college.edu,Vizag,AP
S1071,Student_71,Male,23,ECE,3.0,A,55,Lateral,2024,6,7.98,97,Good,No,Hostel,9349709555,student71@college.edu,Hyderabad,AP
S1072,Student_72,Male,21,EEE,2.0,B,59,Regular,2023,5,7.09,90,Average,Yes,DayScholar,9243061806,student72@college.edu,Vizag,AP
S1073,Student_73,Male,18,EEE,4.0,C,16,Regular,2024,5,6.73,62,Excellent,No,DayScholar,9750999512,student73@college.edu,Rajahmundry,AP
S1074,Student_74,Female,19,CSE,4.0,B,20,Lateral,2022,7,9.08,93,Average,Yes,DayScholar,9857046188,student74@college.edu,Hyderabad,AP
S1075,Student_75,Female,18,CSE,2.0,C,68,Regular,2023,2,9.05,63,Good,No,Hostel,9686341752,student75@college.edu,Vijayawada,AP
S1076,Student_76,Female,23,CSE,2.0,A,48,Regular,2021,7,8.29,60,Average,No,Hostel,9680403464,student76@college.edu,Vijayawada,AP
S1077,Student_77,Male,20,CSE,4.0,A,71,Regular,2022,4,5.12,68,Average,Yes,Hostel,9469243592,student77@college.edu,Vijayawada,AP
S1078,Student_78,Male,19,ECE,3.0,B,39,Lateral,2022,4,7.94,77,Good,Yes,Hostel,9978094831,student78@college.edu,Hyderabad,AP
S1079,Student_79,Female,21,Civil,1.0,B,39,Lateral,2023,7,8.26,61,Average,Yes,DayScholar,9858690691,student79@college.edu,Rajahmundry,AP
S1080,Student_80,Female,24,ME,2.0,C,66,Lateral,2021,6,9.08,73,Good,Yes,DayScholar,9117618103,student80@college.edu,Vizag,AP
S1081,Student_81,Female,23,ECE,1.0,B,53,Regular,2022,7,8.31,98,Good,No,DayScholar,9198485068,student81@college.edu,Rajahmundry,AP
S1082,Student_82,Male,21,ECE,3.0,B,15,Lateral,2021,5,9.1,82,Good,No,DayScholar,9192330411,student82@college.edu,Vizag,AP
S1083,Student_83,Female,23,ECE,2.0,C,68,Lateral,2023,1,6.49,67,Average,Yes,Hostel,9260075413,student83@college.edu,Vijayawada,AP
S1084,Student_84,Female,22,EEE,1.0,C,29,Regular,2024,6,5.52,70,Excellent,No,DayScholar,9557874186,student84@college.edu,Hyderabad,AP
S1085,Student_85,Male,23,ECE,4.0,A,5,Lateral,2022,2,6.0,76,Average,Yes,DayScholar,9537008994,student85@college.edu,Vijayawada,AP
S1086,Student_86,Male,22,CSE,1.0,C,52,Lateral,2021,4,6.59,84,Average,No,Hostel,9841677179,student86@college.edu,Vijayawada,AP
S1087,Student_87,Male,20,Civil,4.0,C,71,Lateral,2024,4,5.54,83,Average,No,DayScholar,9450380855,student87@college.edu,Vijayawada,AP
S1088,Student_88,Male,19,CSE,2.0,A,7,Regular,2021,5,7.54,97,Average,No,DayScholar,9473117788,student88@college.edu,Vizag,AP
S1089,Student_89,Male,22,EEE,1.0,A,61,Regular,2022,6,8.65,95,Excellent,No,Hostel,9821120839,student89@college.edu,Rajahmundry,AP
S1090,Student_90,Female,23,ME,1.0,B,70,Lateral,2022,6,7.94,61,Good,Yes,DayScholar,9910983067,student90@college.edu,Vizag,AP
S1091,Student_91,Female,22,ME,4.0,C,47,Regular,2022,7,9.21,62,Average,Yes,Hostel,9580684052,student91@college.edu,Hyderabad,AP
S1092,Student_92,Female,18,EEE,3.0,A,62,Lateral,2024,7,7.9,100,Average,Yes,Hostel,9941496319,student92@college.edu,Vizag,AP
S1093,Student_93,Female,24,ECE,3.0,C,7,Regular,2022,8,5.58,89,Poor,Yes,DayScholar,9154885592,student93@college.edu,Vijayawada,AP
S1094,Student_94,Female,22,EEE,4.0,C,61,Regular,2023,3,5.9,67,Poor,Yes,DayScholar,9612927053,student94@college.edu,Vizag,AP
S1095,Student_95,Male,20,ME,2.0,A,20,Regular,2023,3,8.0,74,Average,No,Hostel,9452328846,student95@college.edu,Rajahmundry,AP
S1096,Student_96,Female,22,ECE,3.0,A,25,Lateral,2021,5,6.19,85,Good,Yes,Hostel,9723613255,student96@college.edu,Hyderabad,AP
S1097,Student_97,Female,19,EEE,2.0,B,46,Lateral,2024,7,7.62,61,Average,Yes,Hostel,9343908514,student97@college.edu,Rajahmundry,AP
S1098,Student_98,Male,20,Civil,4.0,B,75,Regular,2022,1,7.31,85,Average,No,Hostel,9405675402,student98@college.edu,Vizag,AP
S1099,Student_99,Female,22,ME,1.0,C,64,Lateral,2022,3,7.12,83,Poor,No,DayScholar,9416598866,student99@college.edu,Rajahmundry,AP
S1100,Student_100,Female,22,Civil,2.0,A,43,Lateral,2023,8,7.23,89,Excellent,Yes,Hostel,9461800330,student100@college.edu,Rajahmundry,AP
S1101,Student_101,Female,24,CSE,4.0,B,62,Lateral,2023,2,9.78,85,Good,Yes,DayScholar,9239229126,student101@college.edu,Vizag,AP
S1102,Student_102,Male,18,Civil,1.0,B,30,Lateral,2024,7,6.06,84,Excellent,Yes,Hostel,9539019925,student102@college.edu,Hyderabad,AP
S1103,Student_103,Male,18,CSE,4.0,B,33,Lateral,2021,3,6.99,85,Poor,No,DayScholar,9773585401,student103@college.edu,Vizag,AP
S1104,Student_104,Male,20,Civil,4.0,B,12,Lateral,2022,4,6.71,67,Poor,Yes,DayScholar,9338078545,student104@college.edu,Vijayawada,AP
S1105,Student_105,Female,23,ME,4.0,B,52,Regular,2021,3,8.57,66,Average,No,DayScholar,9985944839,student105@college.edu,Vijayawada,AP
S1106,Student_106,Female,21,ECE,3.0,B,1,Regular,2022,5,7.94,96,Excellent,Yes,DayScholar,9788746162,student106@college.edu,Hyderabad,AP
S1107,Student_107,Male,19,CSE,1.0,A,14,Lateral,2021,7,9.0,83,Poor,Yes,Hostel,9889200018,student107@college.edu,Vijayawada,AP
S1108,Student_108,Female,20,CSE,4.0,C,49,Regular,2024,2,9.03,66,Good,Yes,DayScholar,9635839916,student108@college.edu,Vizag,AP
S1109,Student_109,Female,22,CSE,4.0,A,78,Lateral,2021,5,9.78,60,Excellent,No,DayScholar,9545187071,student109@college.edu,Vizag,AP
S1110,Student_110,Male,22,ECE,2.0,C,53,Regular,2021,3,8.63,98,Good,No,Hostel,9987779092,student110@college.edu,Vijayawada,AP
S1111,Student_111,Female,19,ME,4.0,C,37,Lateral,2022,6,5.06,84,Poor,No,Hostel,9167747551,student111@college.edu,Rajahmundry,AP
S1112,Student_112,Female,18,ECE,1.0,C,31,Regular,2021,1,7.39,61,Poor,No,DayScholar,9853440864,student112@college.edu,Rajahmundry,AP
S1113,Student_113,Female,18,CSE,1.0,A,74,Lateral,2023,4,7.41,87,Excellent,Yes,Hostel,9183548757,student113@college.edu,Rajahmundry,AP
S1114,Student_114,Female,19,Civil,2.0,B,22,Lateral,2023,3,8.09,63,Poor,No,Hostel,9727375859,student114@college.edu,Rajahmundry,AP
S1115,Student_115,Female,22,EEE,4.0,A,74,Regular,2023,7,9.93,88,Excellent,No,DayScholar,9378583959,student115@college.edu,Rajahmundry,AP
S1116,Student_116,Female,24,ME,2.0,B,9,Regular,2022,4,5.69,67,Average,No,DayScholar,9738563368,student116@college.edu,Vizag,AP
S1117,Student_117,Female,20,CSE,3.0,A,2,Lateral,2022,8,7.96,65,Poor,No,DayScholar,9688480939,student117@college.edu,Rajahmundry,AP
S1118,Student_118,Male,22,Civil,4.0,A,20,Lateral,2024,8,6.24,92,Poor,Yes,DayScholar,9274516311,student118@college.edu,Rajahmundry,AP
S1119,Student_119,Female,24,EEE,3.0,A,49,Regular,2022,7,6.17,66,Excellent,Yes,Hostel,9962377155,student119@college.edu,Vijayawada,AP
S1120,Student_120,Female,22,Civil,4.0,B,55,Lateral,2023,5,7.3,72,Excellent,Yes,Hostel,9197572120,student120@college.edu,Vizag,AP
S1121,Student_121,Male,24,ECE,2.0,C,25,Regular,2022,1,8.76,63,Average,Yes,Hostel,9307254551,student121@college.edu,Hyderabad,AP
S1122,Student_122,Female,20,EEE,3.0,C,60,Regular,2023,4,5.34,87,Excellent,Yes,Hostel,9850567136,student122@college.edu,Rajahmundry,AP
S1123,Student_123,Female,21,CSE,2.0,C,56,Lateral,2023,4,8.17,79,Good,No,DayScholar,9519576606,student123@college.edu,Hyderabad,AP
S1124,Student_124,Female,23,ECE,1.0,C,4,Regular,2022,7,9.4,66,Average,Yes,DayScholar,9243552755,student124@college.edu,Hyderabad,AP
S1125,Student_125,Male,21,CSE,3.0,A,26,Lateral,2022,7,6.15,93,Good,Yes,DayScholar,9218570991,student125@college.edu,Rajahmundry,AP
S1126,Student_126,Male,20,ECE,4.0,B,69,Regular,2022,5,5.41,91,Average,No,DayScholar,9150753020,student126@college.edu,Rajahmundry,AP
S1127,Student_127,Female,24,EEE,2.0,A,20,Lateral,2023,8,7.86,76,Average,Yes,Hostel,9552593325,student127@college.edu,Vizag,AP
S1128,Student_128,Female,18,CSE,4.0,B,52,Lateral,2023,4,5.64,79,Poor,No,Hostel,9894960737,student128@college.edu,Hyderabad,AP
S1129,Student_129,Male,21,CSE,2.0,B,23,Lateral,2022,5,8.71,99,Average,No,Hostel,9130739273,student129@college.edu,Rajahmundry,AP
S1130,Student_130,Female,22,ME,1.0,B,2,Lateral,2021,6,7.03,82,Good,Yes,DayScholar,9910539684,student130@college.edu,Vijayawada,AP
S1131,Student_131,Female,20,ME,1.0,C,5,Regular,2021,4,7.82,99,Average,Yes,DayScholar,9618561553,student131@college.edu,Hyderabad,AP
S1132,Student_132,Male,18,Civil,2.0,C,19,Lateral,2023,6,6.46,85,Poor,Yes,DayScholar,9167353568,student132@college.edu,Vizag,AP
S1133,Student_133,Female,24,Civil,1.0,A,36,Lateral,2024,6,5.17,63,Average,No,Hostel,9394471762,student133@college.edu,Vijayawada,AP
S1134,Student_134,Female,20,Civil,3.0,B,54,Regular,2023,4,7.46,60,Poor,No,Hostel,9975001166,student134@college.edu,Vizag,AP
S1135,Student_135,Male,20,ECE,2.0,A,16,Regular,2021,6,8.38,85,Poor,Yes,Hostel,9555055722,student135@college.edu,Vizag,AP
S1136,Student_136,Male,22,Civil,2.0,C,40,Regular,2024,7,9.58,99,Average,Yes,DayScholar,9498473653,student136@college.edu,Vijayawada,AP
S1137,Student_137,Male,21,ME,2.0,A,22,Lateral,2024,8,8.46,91,Average,No,DayScholar,9847467718,student137@college.edu,Hyderabad,AP
S1138,Student_138,Female,18,EEE,4.0,A,44,Lateral,2023,2,7.62,69,Good,Yes,DayScholar,9972312527,student138@college.edu,Vijayawada,AP
S1139,Student_139,Female,23,EEE,3.0,A,18,Regular,2022,8,8.92,62,Good,Yes,Hostel,9760251816,student139@college.edu,Vijayawada,AP
S1140,Student_140,Female,21,ME,4.0,A,68,Lateral,2024,5,8.59,96,Poor,Yes,Hostel,9930616908,student140@college.edu,Rajahmundry,AP
S1141,Student_141,Female,19,EEE,4.0,B,80,Regular,2024,7,8.07,97,Average,No,DayScholar,9100797527,student141@college.edu,Hyderabad,AP
S1142,Student_142,Male,20,EEE,1.0,C,14,Regular,2023,4,9.52,78,Average,Yes,DayScholar,9829859860,student142@college.edu,Hyderabad,AP
S1143,Student_143,Male,21,ECE,2.0,A,28,Lateral,2022,8,6.36,60,Poor,Yes,Hostel,9614818951,student143@college.edu,Hyderabad,AP
S1144,Student_144,Male,19,CSE,2.0,A,15,Regular,2021,2,9.34,84,Excellent,No,DayScholar,9266746552,student144@college.edu,Rajahmundry,AP
S1145,Student_145,Female,22,EEE,1.0,A,75,Lateral,2023,1,8.06,79,Average,Yes,Hostel,9855293833,student145@college.edu,Hyderabad,AP
S1146,Student_146,Female,24,ME,2.0,A,3,Regular,2022,2,8.19,65,Excellent,No,Hostel,9282789060,student146@college.edu,Vizag,AP
S1147,Student_147,Female,19,EEE,3.0,C,34,Regular,2023,6,7.89,87,Excellent,No,Hostel,9199915903,student147@college.edu,Vizag,AP
S1148,Student_148,Female,23,ME,3.0,C,60,Regular,2023,5,7.5,92,Poor,Yes,DayScholar,9294575772,student148@college.edu,Vijayawada,AP
S1149,Student_149,Male,22,Civil,3.0,A,49,Lateral,2024,8,6.14,65,Average,No,DayScholar,9518980955,student149@college.edu,Rajahmundry,AP
S1150,Student_150,Female,22,ECE,4.0,A,14,Lateral,2022,3,8.83,75,Good,No,DayScholar,9274349138,student150@college.edu,Vijayawada,AP
S1151,Student_151,Male,22,EEE,4.0,B,52,Regular,2022,5,6.69,89,Good,No,DayScholar,9286230441,student151@college.edu,Hyderabad,AP
S1152,Student_152,Female,19,EEE,2.0,B,56,Lateral,2022,7,5.86,88,Good,Yes,Hostel,9719235157,student152@college.edu,Vizag,AP
S1153,Student_153,Female,20,ECE,3.0,B,74,Lateral,2023,2,6.9,68,Average,No,Hostel,9541389589,student153@college.edu,Hyderabad,AP
S1154,Student_154,Male,24,ME,2.0,B,55,Regular,2022,3,9.94,67,Good,Yes,Hostel,9345078924,student154@college.edu,Vijayawada,AP
S1155,Student_155,Female,19,ME,1.0,B,62,Lateral,2022,7,8.8,98,Poor,No,Hostel,9973937873,student155@college.edu,Vizag,AP
S1156,Student_156,Male,21,Civil,2.0,C,60,Lateral,2024,7,6.26,64,Excellent,No,DayScholar,9705152762,student156@college.edu,Rajahmundry,AP
S1157,Student_157,Female,23,ECE,4.0,A,48,Lateral,2023,1,8.27,82,Average,Yes,Hostel,9516619463,student157@college.edu,Vijayawada,AP
S1158,Student_158,Female,20,ECE,4.0,B,28,Lateral,2022,7,6.37,69,Good,Yes,Hostel,9320752969,student158@college.edu,Vizag,AP
S1159,Student_159,Male,24,ME,1.0,A,36,Lateral,2023,8,8.27,91,Poor,No,Hostel,9804132338,student159@college.edu,Hyderabad,AP
S1160,Student_160,Female,19,EEE,1.0,B,72,Lateral,2021,5,7.94,60,Excellent,No,DayScholar,9365880277,student160@college.edu,Vijayawada,AP
S1161,Student_161,Female,18,ME,1.0,A,48,Regular,2021,2,5.18,81,Poor,No,Hostel,9993912758,student161@college.edu,Rajahmundry,AP
S1162,Student_162,Male,18,EEE,1.0,B,36,Lateral,2021,8,7.43,88,Excellent,No,DayScholar,9833828383,student162@college.edu,Vizag,AP
S1163,Student_163,Male,20,Civil,2.0,A,12,Lateral,2022,4,6.7,70,Average,Yes,DayScholar,9790273739,student163@college.edu,Vizag,AP
S1164,Student_164,Female,23,ME,1.0,C,30,Regular,2023,1,8.32,78,Average,No,DayScholar,9970513237,student164@college.edu,Vizag,AP
S1165,Student_165,Male,19,ME,3.0,A,69,Regular,2023,6,9.08,86,Poor,No,Hostel,9358979394,student165@college.edu,Vijayawada,AP
S1166,Student_166,Male,23,Civil,2.0,A,29,Lateral,2024,2,8.54,81,Good,Yes,Hostel,9522050882,student166@college.edu,Vizag,AP
S1167,Student_167,Male,20,ME,4.0,B,3,Regular,2022,8,6.79,90,Poor,No,Hostel,9850982958,student167@college.edu,Rajahmundry,AP
S1168,Student_168,Female,22,ECE,3.0,A,26,Lateral,2024,7,8.3,90,Poor,No,Hostel,9995036856,student168@college.edu,Vizag,AP
S1169,Student_169,Female,18,ME,1.0,C,22,Lateral,2021,8,8.03,76,Poor,Yes,DayScholar,9457460583,student169@college.edu,Vizag,AP
S1170,Student_170,Female,21,EEE,3.0,A,62,Regular,2024,5,5.36,66,Average,No,Hostel,9634617674,student170@college.edu,Hyderabad,AP
S1171,Student_171,Male,19,EEE,4.0,C,42,Regular,2022,1,9.35,91,Excellent,No,Hostel,9572722116,student171@college.edu,Vizag,AP
S1172,Student_172,Female,23,Civil,3.0,C,5,Lateral,2021,5,5.54,90,Excellent,Yes,DayScholar,9940151738,student172@college.edu,Hyderabad,AP
S1173,Student_173,Female,21,Civil,3.0,B,40,Regular,2022,2,8.75,82,Excellent,Yes,DayScholar,9418371718,student173@college.edu,Rajahmundry,AP
S1174,Student_174,Male,23,ECE,4.0,A,14,Regular,2022,6,6.54,84,Poor,Yes,Hostel,9562907655,student174@college.edu,Hyderabad,AP
S1175,Student_175,Female,18,EEE,4.0,C,43,Lateral,2022,7,7.45,86,Poor,Yes,Hostel,9313806756,student175@college.edu,Vijayawada,AP
S1176,Student_176,Female,23,ME,3.0,A,77,Lateral,2021,5,7.62,67,Excellent,Yes,Hostel,9635937001,student176@college.edu,Rajahmundry,AP
S1177,Student_177,Female,21,CSE,1.0,A,11,Lateral,2022,6,5.56,90,Poor,Yes,DayScholar,9610462916,student177@college.edu,Vijayawada,AP
S1178,Student_178,Male,19,Civil,4.0,A,55,Regular,2021,6,9.38,86,Good,Yes,Hostel,9172369828,student178@college.edu,Vijayawada,AP
S1179,Student_179,Male,24,ECE,3.0,A,60,Regular,2021,7,6.16,86,Good,No,DayScholar,9919751791,student179@college.edu,Hyderabad,AP
